metric,metric_label,family,comparison,seed,baseline_model,baseline_value,eopkg_value,advantage_direction,paired_advantage,baseline_run_id,eopkg_run_id
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs EOPKG-WI,78,EOPKG-WI,3.179176,2.229971,lower,0.949205,52976b78cd13459d8aeef2428f0736f8,b739aca822a14a1cbd642cd4ac692d17
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs GATv2,13,GATv2,0.221828,0.344231,higher,0.122403,e03f160a63b34907b648e6b29b051f93,b03b8880277a467287a08bb2d2153b28
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs GATv2,42,GATv2,0.214630,0.546810,higher,0.332179,bf6da114c8534a8eb85cf5a9d296cb1c,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs GATv2,55,GATv2,0.202982,0.402828,higher,0.199846,d1400b7f5cee485485c75935ba0856fe,e61540633e6547ed8c59bb28154d4917
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs GATv2,67,GATv2,0.211849,0.506200,higher,0.294351,2ab927c10aa14ff6b86c7fca2ad45124,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs GATv2,78,GATv2,0.185065,0.444770,higher,0.259706,6da86c9f8a8745ddb59c64a7e23ad129,b739aca822a14a1cbd642cd4ac692d17
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs GATv2+Mask,13,GATv2+Mask,0.337482,0.344231,higher,0.006748,92cf23d2a12240eeafc5b9991933f8e4,b03b8880277a467287a08bb2d2153b28
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs GATv2+Mask,42,GATv2+Mask,0.319061,0.546810,higher,0.227749,302fb003f78d468b867a9477e40e9d50,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs GATv2+Mask,55,GATv2+Mask,0.345611,0.402828,higher,0.057217,969f6444b8874e8abe26653037a5a68b,e61540633e6547ed8c59bb28154d4917
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs GATv2+Mask,67,GATv2+Mask,0.328083,0.506200,higher,0.178118,33779343e67645c4b55e0ec2d2f81c0a,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs GATv2+Mask,78,GATv2+Mask,0.355244,0.444770,higher,0.089527,06057a9f5a6b49bfa0e90be8b7e75335,b739aca822a14a1cbd642cd4ac692d17
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs LSTM,13,LSTM,0.235254,0.344231,higher,0.108977,947216b4af334db88539b25462b18624,b03b8880277a467287a08bb2d2153b28
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs LSTM,42,LSTM,0.213212,0.546810,higher,0.333598,f6c4ddc23599407f882f9d237f19c6e0,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs LSTM,55,LSTM,0.109158,0.402828,higher,0.293671,c0522b44b1764d5086add47291774d05,e61540633e6547ed8c59bb28154d4917
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs LSTM,67,LSTM,0.153578,0.506200,higher,0.352622,e35ad47b0b2c402aad5b87be01d9b6c8,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_strict_macro_f1,Strict Macro F1,secondary,EOPKG vs LSTM,78,LSTM,0.057668,0.444770,higher,0.387102,27d845ee73b648a3a49992c21b7d59c7,b739aca822a14a1cbd642cd4ac692d17
