metric,GATv2,GATv2+Mask,LSTM,EOPKG-WI,EOPKG
strict_test_weighted_f1,0.878 ± 0.019,0.882 ± 0.022,0.889 ± 0.014,0.895 ± 0.009,0.916 ± 0.002
strict_train_macro_f1,0.707 ± 0.010,0.764 ± 0.003,0.768 ± 0.004,0.605 ± 0.011,0.790 ± 0.004
strict_val_macro_f1,0.735 ± 0.011,0.749 ± 0.012,0.752 ± 0.008,0.734 ± 0.017,0.783 ± 0.004
strict_val_weighted_f1,0.882 ± 0.017,0.882 ± 0.020,0.893 ± 0.013,0.893 ± 0.007,0.922 ± 0.001
test_accuracy,0.981 ± 0.003,1.000 ± 0.000,1.000 ± 0.000,0.993 ± 0.008,1.000 ± 0.000
test_accuracy_deterministic,0.970 ± 0.011,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_accuracy_len_11_20,0.944 ± 0.008,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.001,1.000 ± 0.000
test_accuracy_len_1_5,0.998 ± 0.003,1.000 ± 0.000,1.000 ± 0.000,0.965 ± 0.040,1.000 ± 0.000
test_accuracy_len_21_plus,0.999 ± 0.002,1.000 ± 0.000,1.000 ± 0.000,0.999 ± 0.001,1.000 ± 0.000
test_accuracy_len_6_10,0.999 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.999 ± 0.001,1.000 ± 0.000
test_accuracy_mask_card_1,0.970 ± 0.011,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
test_accuracy_mask_card_2,0.999 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.995 ± 0.008,1.000 ± 0.000
test_accuracy_mask_card_3_plus,0.969 ± 0.015,1.000 ± 0.000,1.000 ± 0.001,0.992 ± 0.009,1.000 ± 0.000
test_accuracy_v1,0.971 ± 0.012,1.000 ± 0.000,1.000 ± 0.000,0.995 ± 0.009,1.000 ± 0.000
test_accuracy_v2,0.993 ± 0.019,1.000 ± 0.000,1.000 ± 0.000,0.991 ± 0.009,1.000 ± 0.000
test_ambiguous_prefix_rate,0.551 ± 0.000,0.551 ± 0.000,0.551 ± 0.000,0.860 ± 0.000,0.860 ± 0.000
test_ece,0.028 ± 0.006,0.032 ± 0.010,0.030 ± 0.007,0.015 ± 0.004,0.011 ± 0.001
test_f1_len_11_20,0.880 ± 0.014,1.000 ± 0.000,1.000 ± 0.000,0.990 ± 0.027,1.000 ± 0.000
test_f1_len_1_5,0.998 ± 0.004,1.000 ± 0.000,1.000 ± 0.000,0.938 ± 0.087,1.000 ± 0.000
test_f1_len_21_plus,0.995 ± 0.014,1.000 ± 0.000,1.000 ± 0.000,0.990 ± 0.012,1.000 ± 0.000
test_f1_len_6_10,0.962 ± 0.003,1.000 ± 0.000,0.979 ± 0.041,0.974 ± 0.040,1.000 ± 0.000
test_f1_mask_card_1,0.958 ± 0.035,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
